answer_id,question_id,answer_no,answer_content,answer_file,answer_correct,created_at,updated_at,active_flag
69,20,4,link,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
70,21,1,"<%= yield :head %>",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
71,21,2,"<%= yield :partial => 'head' %>",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
72,21,3,"<%= render :head  %>",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
73,21,4,"<%= render :partial => 'head' %>",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
74,22,1,/users/1/edit,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
75,22,2,/users/new,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
76,22,3,/users,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
77,22,4,/users/1,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
78,23,1,"default :from => 'no-reply@example.com",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
79,23,2,"default :from, 'no-reply@example.com'",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
80,23,3,"from 'no-reply@example.com'",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
81,23,4,"send_from 'no-reply@example.com'",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
82,24,1,"rails create ittrain",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
83,24,2,"rails project ittrain",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
84,24,3,"rails new ittrain",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
85,24,4,"rails ittrain",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
86,25,1,ActionView,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
87,25,2,ActiveModel,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
88,25,3,ActionContrller,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
89,25,4,ActionWebService,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
90,26,1,“people”,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
91,26,2,“person”,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
92,26,3,“People”,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
93,26,4,“Person”,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
94,27,1,TRUE,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
95,27,2,FALSE,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
96,27,3,nil,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
97,27,4,"Trả về ngoại lệ",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
98,28,1,"User.where(:login, ""foo"")",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
99,28,2,"User.where(:login => ""foo"")",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
100,28,3,"User.select(:login => ""foo"")",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
101,28,4,"User.select(:login , ""foo"")",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
102,29,1,after_save,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
103,29,2,after_create,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
104,29,3,after_update,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
105,29,4,after_destroy,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
106,30,1,"remove_column :users, :email",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
107,30,2,"delete_column :users, :email",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
108,30,3,"remove :users, :email",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
109,30,4,"delete :users, :email",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
110,31,1,updated_at,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
111,31,2,deleted_at,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
112,31,3,login,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
113,31,4,id,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
114,32,1,"show, new, create, edit, update, destroy",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
115,32,2,"show, entry, create, edit, update, delete",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
116,32,3,"index, show, new, create, edit, update, destroy",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
117,32,4,"index, show, entry, create, edit, update, delete",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
118,33,1,"session[:user_id] = @user.id",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
119,33,2,"session(:user_id, @user.id)",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
120,33,3,"session.set(:user_id, @user.id)",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
121,33,4,"set_session(:user_id, @user_id)",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
122,34,1,"comment_url(@message_board, @comment)",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
123,34,2,comments_url(@message_board),NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
124,34,3,"message_board_comment_url(@message_board, @comment)",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
125,34,4,message_board_comments_url(@message_board),NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
126,35,1,request_from,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
127,35,2,request_to,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
128,35,3,respond_from,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
129,35,4,respond_to,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
